URL,Probability,Produkt,Watt,Spannung,Preis,MwSt,Bestellnummer,Artikelnummer,Technische Daten,Zubehör
https://fein.com/de_de/maschinen/bohren-schrauben/akku-bohrschrauber/ascm-18-4-qmp-as-71161661000/,0.7777777777777778,X,,X,X,X,X,,X,X
https://fein.com/de_de/maschinen/bohren-schrauben/akku-bohrschrauber/?tx_mqproductscustom_pdf%5Bpro%5D=259598&type=1646&cHash=4154415f0dd6a8aa3f50294192c8dd96,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/compact/,0.4444444444444444,X,,,X,X,,,,X
https://fein.com/de_de/maschinen/kernbohren-metall/,0.4444444444444444,X,,,X,X,,,,X
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NjcxMTtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiIzMzkwMTY4MDQyMCI7czo4OiJwcm9UaXRsZSI7czo0ODoiU3RydWN0dXJhbCBTdGVlbC1TZXQgMy80IGluIFdlbGRvbiAvIEhTUyBOT1ZBIDI1Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=e8154cd49589b7f2ffbc71464f5a096e,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NjcxMTtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiIzMzkwMTY4MDQyMCI7czo4OiJwcm9UaXRsZSI7czo0ODoiU3RydWN0dXJhbCBTdGVlbC1TZXQgMy80IGluIFdlbGRvbiAvIEhTUyBOT1ZBIDI1Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=e8154cd49589b7f2ffbc71464f5a096e,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NTM5ODtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyNzA1NDY0MDAwIjtzOjg6InByb1RpdGxlIjtzOjUwOiJLQlUgMzUgUVcgRmFicmljYXRvciBNMTIgVGFwcGluZy1TZXQgMy80IGluIFdlbGRvbiI7czoxMToicHJvSGVhZGxpbmUiO3M6NTk6IlVuaXZlcnNhbC1NYWduZXQtS2VybmJvaHJtYXNjaGluZSBiaXMgMzUgbW0gbWl0IEFud2VuZGVyc2V0Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=e2dd9ce86f68a18a185f01eeef5a1f62,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NTM5ODtzOjExOiIAKgBjYXRlZ29yeSI7czo4OiJtYWNoaW5lcyI7czoxMzoiACoAaXRlbXNDb3VudCI7aToxO3M6MTc6IgAqAGl0ZW1SZXBvc2l0b3J5IjtzOjU2OiJcTW9zYWlxXE1xUHJvZHVjdHNDdXN0b21cRG9tYWluXFJlcG9zaXRvcnlcUHJvUmVwb3NpdG9yeSI7czo5OiIAKgBsYXlvdXQiO3M6MTU6ImJ0bkZhdm9yaXRlQ2FyZCI7czoxNzoiACoAYWRkaXRpb25hbERhdGEiO2E6Mzp7czoxNDoicHJvT3JkZXJOdW1iZXIiO3M6MTE6IjcyNzA1NDY0MDAwIjtzOjg6InByb1RpdGxlIjtzOjUwOiJLQlUgMzUgUVcgRmFicmljYXRvciBNMTIgVGFwcGluZy1TZXQgMy80IGluIFdlbGRvbiI7czoxMToicHJvSGVhZGxpbmUiO3M6NTk6IlVuaXZlcnNhbC1NYWduZXQtS2VybmJvaHJtYXNjaGluZSBiaXMgMzUgbW0gbWl0IEFud2VuZGVyc2V0Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=e2dd9ce86f68a18a185f01eeef5a1f62,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NjcxMjtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiIzMzkwMTY4MDQzMCI7czo4OiJwcm9UaXRsZSI7czo0NToiVHJ1Y2tmcmFtZS1TZXQgMy80IGluIFdlbGRvbiAvIEhTUyBTUEVDSUFMIDI1Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215144&cHash=27f1179a7903765c2079bdeed6e054f7,0.0,,,,,,,,,
https://fein.com/de_de/maschinen/kernbohren-metall/?tx_mqbasket_list%5BitemData%5D=Tzo1MjoiTW9zYWlxXE1xQmFza2V0XERvbWFpblxFbnRpdHlcQnV0dG9uc1BhcmFtZXRlckVudGl0eSI6Nzp7czo5OiIAKgBsaXN0SUQiO3M6NzoiZGVmYXVsdCI7czo3OiIAKgBpdGVtIjtpOjI0NjcxMjtzOjExOiIAKgBjYXRlZ29yeSI7czoxMToiYWNjZXNzb3JpZXMiO3M6MTM6IgAqAGl0ZW1zQ291bnQiO2k6MTtzOjE3OiIAKgBpdGVtUmVwb3NpdG9yeSI7czo1NjoiXE1vc2FpcVxNcVByb2R1Y3RzQ3VzdG9tXERvbWFpblxSZXBvc2l0b3J5XFByb1JlcG9zaXRvcnkiO3M6OToiACoAbGF5b3V0IjtzOjE1OiJidG5GYXZvcml0ZUNhcmQiO3M6MTc6IgAqAGFkZGl0aW9uYWxEYXRhIjthOjI6e3M6MTQ6InByb09yZGVyTnVtYmVyIjtzOjExOiIzMzkwMTY4MDQzMCI7czo4OiJwcm9UaXRsZSI7czo0NToiVHJ1Y2tmcmFtZS1TZXQgMy80IGluIFdlbGRvbiAvIEhTUyBTUEVDSUFMIDI1Ijt9fQ%3D%3D&tx_mqbasket_list%5BitemsCount%5D=0&type=215452&cHash=27f1179a7903765c2079bdeed6e054f7,0.0,,,,,,,,,
